location_name,comfortable_days
Addis Ababa,250
Sanaa,222
Asmara,176
Tegucigalpa,174
San Ignacio,148
Lima,144
Belmopan,143
Pretoria,136
San Salvador,135
Maseru,125
Nouakchott,121
National,116
Port-Au-Prince,115
Windhoek,115
Kathmandu,114
Mbabane,104
Guatemala City,103
Cairo,102
Laos,100
Islamabad,97
Jerusalem,91
Aurora,89
Beirut,89
Dakar,88
Gaborone,82
Antananarivo,81
Kabul,80
Montevideo,79
Buenos Aires,79
Havana,78
Rabat,76
Harare,76
Baghdad,76
Caracas,75
Nicosia,74
Bishkek,72
Copenhagen,72
Algiers,71
Riyadh,70
Beijing,70
Tunis,70
Nuku`Aloia,69
Manama,68
Tallinn,67
Athens,67
Praia,66
New Delhi,66
Canberra,65
Kuwait City,65
Nairobi,64
Valletta,64
Damascus,62
Stockholm,61
Lisbon,60
Santo Domingo,60
Paris,59
Lusaka,59
Monaco,58
Lilongwe,58
Hanoi,57
Pyongyang,57
Tokyo,57
London,56
Ban Lom,55
Nassau,55
Banjul,54
Moscow,54
Amman,54
Helsinki,53
Brussels,53
Vilnius,52
San Marino,51
Riga,50
Minsk,49
Seoul,49
Chi Chi Khvar,49
Ottawa,48
Astana,48
Warsaw,47
Dushanbe,47
Amsterdam,46
Tirana,46
Luxembourg,45
Yerevan,43
Tbilisi,42
Tehran,42
Dublin,42
Berlin,42
Doha,42
Suva,41
Wellington,41
Yaren,41
Podgorica,40
Ngaoundere,40
Prague,40
'S Gravenjansdijk,40
Sofia,40
Tashkent,40
Port Vila,40
Skopje,39
Belgrade,39
Bamako,39
Kyiv,38
Vatican City,37
Juba,37
Bogot,37
Rome,37
Madrid,37
Ashgabat,37
Bissau,35
Vaduz,34
Santiago,33
Bucharest,32
Andorra La Vella,32
Ankara,31
Ljubljana,31
Sarajevo,30
Managua,30
Mexico City,30
Budapest,29
Zagreb,28
Ulaanbaatar,27
Oslo,26
Bern,26
Vienna,26
Bratislava,25
Baku,25
Bujumbura,24
Kigali,22
Ivory,20
Khartoum,20
Maputo,20
Port Louis,19
Kampala,18
Bras,17
Ouagadougou,16
Niamey,16
Georgetown,12
Abu Dhabi,12
Lom,10
Thimphu,9
Paramaribo,8
Dodoma,6
Sucre,6
Saint John's,5
N'djamena,4
'S Gravenjansdyk,4
Yangon,3
Bafoussam,3
Roseau,3
Port Of Spain,3
Muscat,2
Kinshasa,2
Pasto,2
Brazzaville,1
San Juan,1
Nan,1
Moroni,1
Norman Gardens,1
Quito,1
Dhaka,1
Apia,1
Addis Abeba,1
Dili,1
'S Gravenstaffel,1
Port Moresby,1
